5;100
1;Matemática;2
2;Física;2
3;Química;2
4;Estatística;5
5;Religiao;3
Bob Esponja;600;700;800;1;2
Pato Donald;700;700;800;1;2
Mickey Mouse;800;700;800;5;2
Peppa Pig;700;700;500;3;2
Super Mario Bros;600;600;500;4;3
Peter Parker;700;850;800;3;4
Deadpool;900;700;800;3;4
Tio Patinhas;700;700;600;4;2
Patrick Estrela;500;600;700;2;4
Sandy Bochechas;550;650;750;1;3
Seu Madruga;650;750;700;1;2
Chaves;750;800;850;3;4
Chiquinha;700;700;700;2;4
Professor Girafales;800;900;800;4;1
Dona Florinda;700;750;700;3;1
Senhor Barriga;750;800;800;2;1
Joaquim;700;700;600;4;3
Maria;650;750;800;3;2
José;700;700;700;2;1
Ana;800;850;800;1;3
Paulo;700;750;700;3;4
Gabriela;750;800;850;2;1
Carlos;700;700;700;1;4
Sandra;600;650;700;4;2
Ricardo;650;750;800;2;1
Fernanda;700;800;750;1;3
Roberto;750;850;800;3;2
Vanessa;700;700;700;2;4
Rodrigo;800;900;800;4;2
Mariana;700;750;700;3;1
Guilherme;750;800;850;2;4
Laura;700;700;700;1;3
Daniel;600;650;700;4;1
Juliana;650;750;800;2;3
Marcos;700;800;750;3;4
Patrícia;750;850;800;1;2
Lucas;700;700;700;5;4
Camila;800;900;800;4;2
Fábio;700;750;700;3;1
Aline;750;800;850;2;1
Felipe;700;700;700;1;4
Renata;600;650;700;4;2
Thiago;650;750;800;2;1
Carla;700;800;750;1;3
João;750;850;800;3;2
Bianca;700;700;700;2;4
Eduardo;800;900;800;4;2
Marcela;700;750;700;3;1
Vinícius;750;800;850;2;4
Natália;700;700;700;1;3
Rafael;600;650;700;4;1
Isabela;650;750;800;2;3
Gustavo;700;800;750;3;4
Pedro;750;850;800;1;2
Larissa;700;700;700;2;4
Carlos;800;900;800;5;2
Luana;700;750;700;3;1
Mateus;750;800;850;2;1
Julia;700;700;700;1;4
Diego;600;650;700;4;2
Carol;650;750;800;2;1
Paulo;700;800;750;1;3
Renata;750;850;800;3;2
Thiago;700;700;700;2;4
Ana;800;900;800;4;2
Lucas;700;750;700;3;1
Camila;750;800;850;2;1
Fábio;700;700;700;1;4
Aline;600;650;700;4;2
Felipe;650;750;800;2;1
Renata;700;800;750;1;3
Thiago;750;850;800;3;2
Carla;700;700;700;2;4
João;800;900;800;4;2
Bianca;700;750;700;3;5
Mercantil;750;800;850;2;5
Marcela;700;700;700;1;4
Vinícius;600;650;700;4;2
Natália;650;750;800;2;1
Rafael;700;800;750;1;3
Isabela;750;850;800;3;2
Gustavo;700;700;700;2;4
Fernanda;800;900;800;4;2
Pedro;700;750;700;3;1
Larissa;750;800;850;2;1
Carlos;700;700;700;1;4
Luana;600;650;700;4;2
Mateus;650;750;800;2;1
Julia;700;800;750;1;3
Diego;750;850;800;3;2
Carol;700;700;700;2;4
Paulo;800;900;800;4;2
Renata;700;750;700;3;5
Thiago;750;800;850;2;1
Ana;700;700;700;1;4
Lucas;600;650;700;4;2
Camila;650;750;800;2;1
Fábio;700;800;750;1;3
Aline;750;850;800;3;2
Felipe;700;700;700;2;4
